subject,text
Language,"Understanding the plot of a story is essential to writing about it. You can't write about a story if you can't express what happened in it. So what I want to do today is talk about creating objective summaries of texts. Summaries that are free of opinion, or non biased. If you're summarizing a book, you wanna get across the events of the story. Objectivity is hard and weird and has a very specific purpose. You use it to build the bones of your analysis."
Language,"Once you've got the structure in place, bring opinions back. Here are the facts and now here's what I think about those facts. Let me be clear, opinions are good. Opinions are where analysis lives. The whole field of literary criticism would be awfully boring if nobody ever held opinions but all that criticism rests on a basis of objectively summarized texts. So let's talk about how to do just that, how to objectively summarize a text. Here's what you need to do."
Language,"Step one, read the thing you want to summarize. You can't do one without the other. Step two, ask yourself, what are the important parts of this story? Not the interesting parts, not the cool parts, but the most essential parts of the story. Remember we're trying to be objective here so it's not about including the parts you especially liked. So who are the main characters, where does the story take place, what happens in the plot? Step three, pare it down."
Language,"Look at all those important parts you listed, and cut out everything that isn't absolutely essential. Major characters only, setting, conflict, climax, resolution. Step four, put it in order. Write it all out as sentences in the order the plot happened in. The idea is to be able to summarize a whole story in a handful of sentences, like a single five sentence paragraph. And you're gonna wanna paraphrase here."
Language,"Whatever you need to say, say it in your own words so you can get it across as quickly as possible. Ordinarily, I'd say quoting from the text is an important skill but this is one time you won't use it. All right so, those are the four steps. To demonstrate, I'm gonna take a fiction piece from a Khan Academy exercise and I'll go through that process with you. Step one, let's read it all, read this little story chunk. ""'Wilky!' Captain Martello bellowed below deck."
Language,"""'We need your help!' I climbed the ladder quickly ""and was astonished that I hadn't awakened on my own. ""Usually I could sense a storm brewing ""hours before it arrived. ""Captain Martello noticed my look of surprise. ""'She's coming on quick, this one. Here, grab the rope, ""Help me pull down the sail.' ""Overboard, the waters had changed. ""No longer were they an inviting green hue, ""they were dark, foreboding."
Language,"""The moon above tried to peek through the angry sky ""but the clouds kept hijacking her hopeful glow. ""Suddenly, a giant slow rolling wave ""forced my side of the vessel to dip into the water. ""I tried to hang on but the lurching wave was tugging at me. ""Captain Martello grabbed my leg ""and managed to yank me onto Adelina's salt sprayed deck. ""'You're safe,' he said firmly, 'for now.'"" Okay step two, what are the important parts of the story? Okay so Wilky comes on deck when Captain Martello asks him to."
Language,"They're on a boat. And note here that I'm just sort of scribbling down notes, these aren't even sentences. There's a storm coming that Wilky didn't predict. The captain tells Wilky to help him strike the sail. The water is a scary color, a wave nearly washes Wilky overboard but the captain saves him. Oh and the ship is called the Adelina. I think that's a neat name for a ship. All right step three, pare it down. So the fact that I think that Adelina is a neat name for a ship is opinion and not relevant."
Language,"It's also not super relevant that Wilky didn't predict the storm. Or that the water is a spooky color. So do we have all the important details in here? The name of the ship, check. The name of Wilky and Captain Martello, the fact that there is a storm. So part of this is relevant but not the prediction part and Wilky nearly being tossed overboard but saved by the captain. So step four, let's take all of that, put it in order. Start afresh, full sentences, okay."
Language,"Captain Martello calls Wilky up to the deck of the Adelina to help him prepare the ship for a sudden storm. Wilky is nearly washed overboard by a big wave but Martello saves them. That's our strategy, you see? Boil down the story to its essentials, strip away unnecessary detail and rephrase events in your own words in the order that they happened in. Once you've got that squared away, you're ready to back up that great big dump truck full of opinions. All right bring her in."
Language,"(truck backing up beeping) Let them have it, fellows. (crashing) You love to see it. You can learn anything, David out.."
Language,"Understanding what characters do is key to your success as a reader. The way characters behave towards themselves, towards others, towards objects, can tell us a lot about them and can give us clues to the larger messages in a story. Character actions are what drive a story forward. Let my co-worker Kim read you a story in which nobody takes any actions. -    Once upon a time, there was a magical kingdom in which nobody ever did anything."
Language,"Nobody baked bread or called their friends on the phone or played video games or soccer or basketball or wrote books or ate yogurt. They didn't even nap. They just sat there. (Kim yawns) It was a very boring kingdom. -    Why, thank you, Kim. Without character action, there is no story. Let's try that again. I'll blow the horn of action and Kim you do that again, but this time let's throw in some character decisions. All right, lights, camera, horn of action."
Language,"(horn blares) -    The magical kingdom of Belchantry was abuzz with activity. Bakers baked, ballers shot hoops, yogurt smiths made yogurt. The young princess Lulabell practiced her swordplay. And on a great tower on the outskirts of town an evil wizard put the finishing touches on a spell that would bring terrible darkness to the land. -    See, now that's a story I wanna hear. Character actions and decisions have to drive the story."
Language,"It's about what characters choose to do, not just about the world around them. There could be a big, scary storm, but that's not character action. It's about how the characters react to the storm that matters, that shapes the story. What do characters do in times of trouble or when their friends need help? That's when you can learn the most about them. Actions speak louder than words, after all."
Language,"What motivates these characters? Why do they act the way they act? What are the values or beliefs that drive them? What are their goals? And what does that tell us about the message of the story? Sometimes characters don't behave in the way that we expect, like villainous characters may seem nice in order to do evil things. If we think about ""The Three Little Pigs."" If the Big Bad Wolf is going door to door and saying, ""Hello, little pig. ""It's me, your new neighbor, the Small Nice Wolf."
Language,"""And I brought you some cookies."" If you're the pig looking out the window, you should open the door, right? Heek no! The wolf is trying to trick you, lock the door. What's interesting about looking at character actions is they can help us see how characters change throughout a story. In the film ""Moana,"" the demi-god character Maui begins as a selfish tricky character, but by the end of the movie he's changed and he cares about Moana and helps her. We can see that because of his actions."
Language,"He begins by stealing Moana's boat and stranding her on an island, and he ends by sacrificing his magic fish hook to help her. Sorry for ""Moana"" spoilers. Characters in stories can be complex, just like real people. The way they behave might surprise you. And if it does, ask yourself, why is this a surprise? Why is this character behaving in this way? Look for evidence throughout a text to help you understand the way characters act."
Language,"If you've insight into their thoughts or feelings, that can be a great place to start. But, for now, I'm going to take action by ending this video. You can learn anything, David out.."
Language,You could be missing out on a wealth of information and added detail. Good readers use pictures to help them understand stories even better. And let's talk about why that is. Pictures can help describe the mood of a story or how a story makes you feel.
Language,"If I'm telling a story about a girl and her dad going for a walk in the woods, but then when you see an image of those woods and the trees are all spindly and black and the sky is a leaden gray, what does that tell you about the mood of the story? It's grim, it's creepy, it's a scary walk in some scary woods. The way the story feels can be expressed through the illustrations. Pictures can help describe the events of a story."
Language,"Maybe the story's a little unspecific, say, for instance, we're talking about Little Red Riding Hood, and it says, ""The big bad wolf swallows Granny up ""and disguises himself as her."" But it doesn't go into further detail. Well, what does that mean? What does his disguise look like? And we can look at an illustration like this and say: Okay, that big bulge in the wolf's stomach is where Granny is, and the wolf's got on Granny's bonnet and little glasses and all. So that's his disguise."
Language,"It is not very convincing to me, but what do I know? And pictures can help fill in important details. I can look at a character's expression as I'm reading to help me answer questions I might have about how that character feels. What's going on there with the face of the wolf? Is that a smile, is that a grimace? The text can give me a clue, but then the picture can tell me the rest of the story. We can use our knowledge of how real life people are or behave to help understand pictures in a story."
Language,"The wolf, for example, the face he's making with his eyes narrowed and his brows knit like that and that smile creeping across his features, to me, that's a scheming face. That's the face someone makes when they're talking to themselves and planning something nasty. He's also putting on Granny's bonnet and glasses. We know these aren't things wolves are known to wear. And he seems very pleased with himself. So he's eaten Granny, he's putting on her clothes."
Language,"He seems really happy about it, but in an evil way, and we can use that to inform the way we read the story. This wolf isn't satisfied with eating an old woman. He wants to eat her grandkid for dessert. So greedy, what a greedy, mean little beast! The point is that pictures in stories are really useful. Read them the same way you read words. Understanding images will make you a stronger reader, and if you can learn that, why then, you can learn anything, David out.."
Language,"Hey, what's up readers? David here. I'm taking advantage of the cold that I have by doing my serious detective voice in order to teach you about inferences. (phone ringing) Hold on, let me get that. Hi, this is David. I'm in the middle of doing a video. Now isn't a great time. - [Man On Phone] Hello, I have information about what an inference is. -    Oh, oh that's great. Cool, follow me over to the next screen."
Language,"What is an inference, please? - [Man On Phone] An inference is a conclusion that you make based on clues given in a piece of writing. It's more than a guess, but it's not just an observation either. -    Great, thank you. Was that all you needed? - [Man On Phone] Yeah, that was my only thing. -    All right, thanks, bye. - [Man On Phone] Goodbye. -    So an inference is a conclusion that you draw from writing."
Language,"It's an idea that you pull from a sentence or a passage that isn't literally printed there. It's the detective work of reading, finding clues that help you make sense of what's being said. I feel like we're kind of getting bogged down in theory land so let's take a look at an example. I went outside and made an enormous snow fort. There's my snow fort. It's a D on the flag to represent me. There's me little hot cocoa, couple marshmallows floating in there, my Khan Academy mug."
Language,"They don't make Khan Academy mugs. I want a Khan Academy mug. Okay, so what conclusions can we draw from these two sentences? I went outside and made an enormous snow fort. Beautiful, brilliant, enormous. Then I came inside and had a big mug of hot chocolate. Same deal, brilliant, beautiful, enormous. What conclusions can I draw about this situation? Well if you're making things out of snow and then you're coming inside and having hot chocolate, it's probably not the height of summer."
Language,"One inference that I can draw from these two sentences together is that it is winter time when this sentence takes place. Where I live, these are not activities that one pursues in the height of summer outside. I'm looking for clues within the text. Snow fort, I'm outside, I came inside and then I had hot chocolate which is not traditionally a beverage that is consumed when it's warm out. Let's take a look at another example."
Language,"This paragraph is part of a longer passage that is about a young ballet dancer named Michaela. Michaela danced so wonderfully that she was awarded a scholarship to attend the Jacqueline Kennedy Onassis School at the American Ballet Theater. That was only the beginning of her dancing success. When she was 17, Michaela danced with the Dance Theater of Harlem professional company. Later, she joined the Dutch National Junior Company. Today, Michaela is a soloist with the Dutch National Ballet."
Language,"So very quickly without getting bogged down in this passage, what are some conclusions, what are some inferences that we can draw about Michaela? Who is Michaela? What do we know about her? We know that she's a dancer. We know that she's very good at it, right? She danced so wonderfully that she got a scholarship. So I'm gonna say Michaela is very talented and we know that her talent led to success because her getting the scholarship was only the beginning of her dancing success."
Language,"We can see from the passage that she was part of at least three different dance companies, the Dance Theater of Harlem, the Dutch National Junior Company, and as a soloist with the Dutch National Ballet today. So I'm gonna say that Michaela is a very hard worker. Now notice no where in the passage does it say Michaela is a very talented, hard working dancer. Just like in the previous example, it didn't say, it was winter outside so I made a snow fort."
Language,"What the skill of inference is requires you to be a detective and take your magnifying glass to the passage to discover clues. Imagine you're a detective like this dog. He's wearing a little deer stalker cap. Let's call him, let's call him Sherlock Bones, the famous dog detective that I just made up. I feel like Sherlock Holmes is always smoking a pipe so I'm gonna give this dog like a, I don't know a bone or a piece of rawhide or something."
Language,"Imagine that you are a detective or a dog detective if you like and every time you read a text, let's say a book, that you are searching for clues within it. What you're doing when you make an inference is you are taking the information that you already know about the world and the places and people in it and how they behave and what they look like and what they do and you're applying that knowledge to the text."
Language,"When do people build snowmen? When do people build snow forts? When do they drink hot cocoa? In the winter time. An important thing to remember though is that inferring is not guessing. Any time you make an inference, you have to be pulling it directly from the text. That's your jumping off point. It can't just be a wild guess out of no where. It comes from information that you've got there on the page. Now if you'll excuse me, I'm going to go eat my weight in cough drops."
Language,"You can learn anything, David out.."
Language,"Wait, what? Oh, hello squirrel. - [Squirrel] You heard me, big legs. What's the big idea? Were you tromping all over my patch of forest without so much as a how do you do? -    I'm sorry. How do you do? - Hello. -    How can I make it up to you? - [Squirrel] Well, okay. I'm working on a school assignment. -    Squirrels have school? - Yeah. - All right, all right. Sorry, go on. - [Squirrel] So I've got this newspaper article, and Mr. Badgerton says I have to draw out what the main idea is."
Language,"How is that different from a summary? -    Okay, a summary is all of the key details of an article or a story, but a main idea is bigger than details. It's what those details add up to. A main idea is the key information that the author wants you to know after you've finished reading the text."
Language,"So, for example, what's going on in your article? - [Squirrel] It's about the creek in the forest, and how everyone wants to drink from it, but the otters wanna swim in it, the bears wanna fish in it, and the beavers wanna build a dam in it and turn the whole thing into a pond. -    Not as peaceful of a forest as I thought, huh? - [Squirrel] Not so much, no. -    What you just told me is a summary of the events of the news story."
Language,"But the big idea there is that there's a conflict or fight over who has access to the creek. - [Squirrel] So you just zipped all the supporting details out of my summary, and made it more about the ideas? -    Yeah, exactly. The main idea is that different animals wanna use the creek. - [Squirrel] Can you give me a more complicated example? -    I would love to. Why don't we take a look at this text about brain growth? So here's a passage about training your brain."
Language,"I'm going to read it, I'm gonna make notes, and then I'm gonna summarize each paragraph. And then, I'll take all those summaries, put 'em together, and that'll help us come up with a main idea. So, here we go. Your brain gets stronger when you exercise it, just like muscles get stronger when you exercise them. Training your brain isn't always easy or comfortable. In fact, your brain uses up 20% of the oxygen and blood in your body because it works so hard."
Language,"Okay, so, your brain can get stronger, but it's not easy. Here are some examples of how your brain grows when you learn new things. Learning math strengthens the parts of the brain that are linked to memory, thought, and action. Imagine that! Remember when you first learned how to add and subtract? You got faster and faster with more practice. That's because your neurons, those are brain cells, your neurons were learning how to work with each other, and then your memory improved."
Language,"But memory is useful for more than just math. I'm gonna underline more than just math. That same part of your brain helps you remember basketball plays, dance routines, and even nice memories with your friends and family. So it's not just about math. Learning and practicing things helps your brain work faster. Learning or practicing anything, yes anything! Learning and practicing helps strengthen and change our brains."
Language,"Your brain is changing and creating new neural pathways, which is just another way of saying brain connections, right? Neural is similar to neuron. So it's like, having to do with brain cells. Your brain is changing and creating new neural pathways when you struggle to learn something new. So struggle is important. In other words, there's a lot happening in your brain when you're learning."
Language,"All learning can build new information pathways, but learning things that are challenging for you can supercharge your brain growth. In other words, the more you're challenged, the faster you learn. So here are my paragraph summaries. Your brain can get stronger, but it's not easy. Learning and practicing helps your brain work faster. And the more you're challenged, the faster you learn."
Language,"Putting those three things together, I would say that the main idea of this passage is that learning new information can strengthen your brain. Let's get our little thinky pinky back in there. What I did was I took something from each paragraph and found what they all had in common. There were some details, for example, about math or dance practice, that are important, but aren't so important that they need to be included in the main idea."
Language,"All of that can just sort of be pushed into this broader idea of learning new information makes your brain stronger, can strengthen your brain. - [Squirrel] So how should I be thinking about main ideas? -    All right. So, are you familiar with the expression, ""You can't see the forest for the trees""? - [Squirrel] David, I live in a forest. Of course I'm familiar. -    So it means, right, don't get so hung up on details that you can't see the big picture."
Language,"The trees, one by one, are all part of the forest. They make up the forest. Right, you with me? - Yes. -    A summary of the forest is all the important details. There's a stream here, there's a birch tree here, a Douglas fir tree here, a red oak tree here, a rock there. But the main idea is this is a forest. All of those things together add up to the idea of a forest. - [Squirrel] But do they add up to you doing my homework assignment? -    They do not. - [Squirrel] Aw, nuts."
Language,"-    You can learn anything. David, out.."
Language,"And as readers, we use those examples to grab hold of those ideas and better understand them. If I tell you that I have weird hobbies, I need to back up that statement with some examples. I need to illustrate just how weird they are. So if I say my hobbies include going for walks, reading books, and drinking tea, those are very ordinary interests, they're not weird at all. Not a good example. I need to be more selective and better support my claim that my hobbies are strange."
Language,"So instead, I could say my hobbies include puppeteering, making bubble tea from scratch, and learning to read Middle English. Well, now we're getting somewhere, right? Now you're starting to understand just how much of a weirdo this David guy is."
Language,"What is the function of an example? What does it do? When you come across an example, ask yourself, what purpose does this example serve? Why did the author introduce this detail here? How does this example connect to the text overall? Does it form a pattern with other details? And if so, what does that pattern tell me? And finally we ask ourselves, does this example raise other questions? Let's look at a text and evaluate its examples. Here's an excerpt from a piece about the author J.M."
Language,"Barrie, the creator of ""Peter Pan"". ""Barrie didn't have just one version ""of the ""Peter Pan"" story, ""he made changes along the way. ""For example, he learned ""that children were copying Peter Pan ""and trying to jump out of their beds to fly. ""Some of them were getting badly injured! ""So Barrie added the rule that in order to fly, ""you had to have fairy or pixie dust ""blown on you first. ""By adding this rule, ""J.M."
