subject,text
Math,"Notice we went from ones to tens, tens are ten times as much as ones. And then we move one space to the left of that, we go to the we multiply by tens again. We get to the hundreds space and so this nine doesn't just represent nine, it represents nine hundred or we could write that as 900. Similarly the seven doesn't just represent seven, it represents seven tens or 70. This three represents three ones, so it actually does represent three."
Math,But as I promised we're now going to extend our understanding and what we do is we put a decimal here which you've probably seen before at the right and the reason why we even need a decimal is to really tell us where our ones place is. We say okay if we go right to the left of the decimal that's going to be our one space because once we start introducing decimals we can introduce as many spaces as we want to the right of the decimal. And so let's think about those a little bit.
Math,"If when we went from hundreds to tens, notice we divided by ten, when we go from tens to ones, notice you divide by ten. So what do you think this place over here is going to be called? Well what happens if you take one divided by ten? Well then you get a tenth so as you might imagine this is the tenths place. And then if you were to go one place to the right of that, what would this place be? Well it'd be tenths divided by ten or 1/10 of a tenth, so this would be a hundredth, hundredths place."
Math,"And then if you were to go one space to the right we could keep doing this forever, but if we were to go one space to the right of that, what would it be? Well a hundredth divided by ten or 1/10 of a hundredth is a thousandth, thousandth space."
Math,"And so for example if I were to extend this number instead of if just being 973, if I were to write 973.526, what do these numbers these digits represent? This five doesn't just represent five, it represents five tenths or another way of writing five tenths you could write it like this 0.5 you just have a five in the tenths place. Or you could write it as five tenths."
Math,"This two I think you get where this is going, this doesn't just represent two, it represents two hundredths I'm just going to make it very explicit in this video, so it's very clear two hundredths. Another way to write that is you just write a two in the hundredths place. So we're going one two spaces to the right of the decimal or you could write it as two over 100, two hundredths."
Math,"And so for kicks, pause the video what are all the different ways of representing this six? What does this six represent? Well this is six thousandths, six thousandths, thousandths, there you go. I could also write that as zero point, let's see it's the tenths place, hundredths place, and then in the thousandths place I have six or I could write this as six over 1000, six thousandths."
Math,So big picture place value we can keep going to the right of the decimal and we can start representing things that are I guess you could say more precise..
Math,"So our point is between three hundredths and four hundredths and the space between three hundredths and four hundredths is divided into ten equal spaces. So if this whole thing is a hundredth, so this whole thing is equal to 0.01 the difference between that, that's a hundredth so then each tenth of that is going to be a thousandth."
Math,"So let me, I don't want to make this too messy so this right over here will be one tenth of a hundredth which is going to be a thousandth, so it's going to be 0.001 we have a one in the thousandths place. So one way to think about it, this number is going to be 0.03 so we have our three hundredths but then let's see how many thousandths we have to add to it to get to this value right over here."
Math,"We have to add one thousandth, two thousandths, three thousandths, four thousandths, five thousandths, six thousandths, seven thousandths, and eight thousandths. So we're starting at three hundredths and then we are adding eight thousandths so you add 0.008 to get to this value. So if you were to add these two together you're going to have three hundredths and then the next place over is the thousandths place and we have eight of them."
Math,"So this point right over here is 0.038 or you could do this as 38 thousandths because three hundredths is 30 thousandths, so any way you want to view it, this is the value of the point graphed on the number line 0.038.."
Math,"The 9 right over here, this is in the hundreds place. This literally represents nine hundreds. So we could rewrite that 9 as nine hundreds. Let me write it two ways. We could write it as 900, which is the same thing as 9 times 100. Now, there's a 0. That's just going to represent zero tens. But zero tens is still just 0. So we don't have to really worry about that. It's not adding any value to our expression or to our number. Now we have this 5. This 5 is in the ones place."
Math,"It literally represents five ones, or you could just say it represents 5. Now, if we wanted to write it as five ones, we could say well, that's going to be 5 times 1. So far, we've represented 905, 900 plus 5 or 9 times 100 plus 5 times 1. And you might say hey, how do I know whether I should multiply or add first? Should I do this addition before I do this multiplication? And I'll always remind you, order of operations. In this scenario, you would do your multiplication before you do your addition."
Math,"So you would multiply your 5 times 1 and your 9 times 100 before adding these two things together. But let's move on. You have another 0. This 0 is in the tenths place. This is telling us the number of tenths we're going to have. This is zero tenths, so it's really not adding much, or it's not adding anything. Now we go to the hundredths place. So this literally represents seven hundredths. So we could write this as 7/100, or 7 times 1/100. And then finally, we go to the thousandths place."
Math,"So we go to the thousandths place. And we have four thousandths. So that literally represents 4 over 1,000, or 4 times 1/1000. Notice this is coming from the hundreds place. You have zero tens, but I'll write the tens place there just so you see it. So it's zero tens, so I didn't even bother to write that down. Then you have your ones place. You have five ones. Then you have zero tenths. So I didn't write that down. Then you have seven hundredths and then you have four thousandths. And we are done."
Math,"We've written this out, really just understanding what this number represents.."
Math,"Well, the stuff to the left of the decimal point is pretty straightforward. Let me actually color code it. So we have 6, 3. Let me do it all in different colors. And then we have a decimal, and then we have a 1 and a 5. There's one common way of doing this, but we'll talk about the different ways you could express this as a word. But we know how to write this stuff to the left. This is pretty straightforward. This is just sixty-three. Let me write that down. So this is sixty-three."
Math,"And instead of the decimal, we'll write, and. Now there's two ways to go here. We could say, and one tenth and five hundredths, or we could just say, look, this is fifteen hundredths. One tenth is ten hundredths. So one tenth and five hundredths is fifteen hundredths. So maybe I can write it like this: sixty-three and fifteen hundredths. Just like that."
Math,"Now, it might have been a little bit more natural to say, how come I don't say one tenth and then five hundredths? And you could, but that would just make it a little bit harder for someone's brain to process it when you say it. So it could have been sixty-three-- so let me copy and paste that. It could be sixty-three and, and then you would write, one tenth for this digit right there, and five hundredths. Sixty-three and one tenth and five hundredths is hard for most people's brains to process."
Math,"But if you say, fifteen hundredths, people get what you're saying. Not to beat a dead horse, but this right here, this is 1/10 right here and then this is 5/100, 5 over 100. But if you were to add these two, If you were to add 1/10 plus 5/100 -- so let's do that. If you were to add 1/10 plus 5/100, how would you do it? You need a common denominator. 100 is divisible by both 10 and 100, so multiply both the numerator and denominator of this character by 10. You get 10 on the top and 100 on the bottom."
Math,"1/10 is the same thing as 10 over 100. 10/100 plus 5/100 is equal to 15 over 100, so this piece right here is equal to 15/100. And that's why we say sixty-three and fifteen hundredths.."
Math,"Before I even look at these choices, I'm just going to really understand what this number represents and let me just rewrite it. So we have 8.76 so there's a couple of ways we could think about it, we can look at our place values, this right over here this is the ones place, this right over here this is the tenths place, and this right over here is the hundredths, hundredths place."
Math,"And so we could view this as eight ones and seven tenths and six hundredths or eight ones plus seven tenths plus six hundredths. Well that's exactly what they wrote right over here. Eight ones, seven tenths, and six hundredths, so I would choose that one for sure. Now this second choice looks like an expanded form, but before I even look at it let's see how we would think about it over here."
Math,"If we wanted to essentially write the same idea but in expanded form, eight ones is the same thing as eight times one and actually let me color code it so you see where things are coming from. So eight ones that's the same thing as eight times one and to that we would add seven tenths, so that's plus seven times 1/10 so seven tenths plus and I'll do this in this orange color, six hundredths so that's plus six times a hundredth, six hundredths."
Math,"So this would be this number in expanded form is that what they put right over here, yes it is indeed what they put right over here, so I will circle that in. Now if you're doing this on your own we know that we just picked two answers, but let's see whether these other forms or let's see if we can write this in these other forms and see how these might not be the exact answer."
Math,"So if we were to write this out and take out each of the decimal parts, so the eight ones you'd just write that as eight, the seven tenths, seven tenths well that would be plus 0.7 this is seven tenths right over here, this and this and this part right over here are all equivalent and then last but not least you have your six hundredths, so plus so that's our ones, that's our tenths, and then we're in our hundredths place and we're going to have six of them."
Math,"So this would be equal to our original value but that's not what they wrote over here, they did write eight ones, they did write seven tenths, but they did not write six hundredths, they wrote six thousandths here. So we could rule that one out."
Math,"And then if we were to write it out in words we would say this is eight eight and do and in a neutral color, now you might say and seven tenths and six hundredths, or you could often what's normally is you express it in the lowest place that you have or the most precise place that you have so you could do seven tenths as 70 hundredths or you could view, you could view this whole thing as 76 hundredths so it could be eight and 70, 70 six hundredths, hundredths."
Math,"But what they wrote over here they did write eight but instead of 76 hundredths, they wrote eight and 67 hundredths a little tricky so we would rule that one out as well.."
Math,"It's a 10 by 10 grid, and we can see that one, two, three, four, five, six, seven of them are shaded in. So this represents 7/100, so this is 3.47, or three and 4/10 and 7/100 or three and 47/100. Now what we're going to do is explore how are other ways you can put the value into the different places? So let me set up a little table here."
Math,"I don't think I'm gonna need all of that space, but we have, in this first example, so we have our ones, we have our ones place, we have our tenths place, and we have our hundredths, hundredths, hundredths place. I have to curve up a little bit. And so what we just did is we said, hey, this was pretty straightforward."
Math,"This was three ones, three ones, 4/10, and 7/100, 7/100, but are there other ways that we could look at it? For example, is there a way of re-imagining this, so instead of three ones, we have two ones, and we still have 7/100, so how many tenths would we have in order for it to be the same value? Pause this video and think about that. All right, we'll do it together and to help us, I will put what we had here just now."
Math,"Now what's different instead of having three ones, we now have two ones, so we could say that these are two ones right over here, our two ones. We have our 7/100 right over here. So essentially, we would have to express all of this in terms of tenths. So how would we express it all in terms of tenths? Well, this, what used to be a one, this is equivalent to 10/10. Let me make that very clear. I could, let me see if I could shade this in with that green color, so there you go."
Math,"I'm gonna shade with the green color and then I'm gonna draw a bunch of lines here to make it very clear, so I'm just gonna hand draw it so one, two, three, four, five, six, seven, eight, nine, and 10. Did I do that right? One, two, three, four, five, six, seven, eight, nine, 10. And I didn't draw it as straight I need to. They really should be 10 equal sections, but it's hand drawn, so I think you understand. So notice. I took the exact same value, but I have regrouped."
Math,"I have regrouped this one right over here into tenths. So how many tenths are here? Well, now I have 10 plus 4/10. So now I have shaded in 14/10. That was interesting. Let's do another example. So now let's imagine another scenario. Let's imagine a scenario where we have three ones again, but this time, instead of having 7/100, we have 27/100. So in that circumstance, how many tenths would we have? Pause this video and see if you can work it through. All right, well let's get that same number again."
Math,"And now let's think about how we might have to regroup between the places. So we have our three ones, so that was just like the first case right over there, so we have our three ones. But now we have 27/100. So in addition to these 7/100, we have to find another 20/100 someplace. Well, the most natural place to go would be right over here and 20/100 is the same thing as 2/10. So what we want to do is we would convert these two tenths into hundredths, so let me actually just shade it in a little bit."
Math,"So I'm going to convert this right over here to hundredths. And so did I do that right? One, two, three, four, five, six, seven, eight, nine, 10. And so there you have it. This plus this gives us our 27/100, and so how many tenths do we have left? We have 2/10, 2/10. So in this situation, we regrouped two from the tenths place and we expressed them as hundredths. So 2/10 became 20/100, added to the 7/100 that you already have and we now have 27/100. Hopefully that makes sense.."
Math,"So you really need to fill out what would you put in here for this to be a representation of 10.74? All right, now let's do it together and I'm gonna rewrite the number a little bit larger so we can really inspect the place values. So one way to think about it is we have zero ones and then we have one 10. But they don't express it that way. They don't say one 10 and zero ones up here. They just say 10 ones, but that's reasonable."
Math,"So when they're saying 10 ones here, they are referring to those 10 ones, or you could view that as one 10 and zero ones. Either way, you have 10 ones, and then if you move one decimal place over, this 7/10, well that makes sense. You have a seven in the tenths place and then this 4/100 makes sense. You have four in the hundredths place. But now let's see what they're doing over here. So once again, they're saying no 10s, but 10 ones. So that is actually the same."
Math,"We could say one 10 and zero ones, or we could say 10 ones. And now over here, they've reduced the number of tenths. You know, you're like, hey, what's going on? I have, there looks like there's 7/10 here. But one way to think about it is they're regrouping from one place to another. And so what they've done is they've taken that extra 10th and they've put it someplace. And the only other place they could put it is in the hundredths place."
Math,"So if I were to take a tenth from the tenths place, a tenth is worth 10 hundredths. So one way to think about it is, you're taking a tenth from there, so now this is going to be, this is going to be 6/10, and if you, where you're going to put that tenth, well you could put it in the hundredths place, but a tenth is going to be 10/100. So if you add 10/100 to the 4/100 that are already there, well, that is going to give you 14/100, so we would put a 14 right over there."
Math,"Let's do another example just to really make sure we're understanding what's going on. So once again, they say fill in the table with whole numbers to make 5.4 in three different ways. So pause this video and see if you can have a go at it. All right. So I'm gonna write the number, so we have 5.4, and in this first row, this is maybe the most standard way or traditional way of interpreting 5.4."
Math,"In our ones place, you have a five and you see that, five ones, and in our tenths place, we have a four, and that's what they have right over here, 4/10. But what are they doing in this second row? Well, they're saying 24/10. 24/10, so somehow, in way to think about it, in the tenths place, they were able to add 20/10. So they went from 4/10 to 24/10. So if you're adding 20/10 here, they must have taken it away from some other place."
Math,"20/10 is the same thing as two ones, so they must have taken two ones away from here. So they took two ones away from here, so this would be three ones and now 24/10. So we could put a three right over there. And you can verify that. 24/10 is the same thing as two wholes and, or two ones and 4/10 or 2.4. 2.4 plus three is going to be equal to 5.4. All right. So here, we only have one one, and so what happened to the other four ones? Well, they must have been transferred to the tenths place."
Math,"So let me rewrite the number. So if we were to take four ones away from the ones place, so we're taking four away from this, we only have one left, and what would happen if I transferred those four ones to the tenths place? Well, then there would be 40/10. Four ones are 40/10, so we would add 40 to 40/10 over here, so we already have 4/10, so this would become 44/10. 44/10. And we're done.."
Math,"This 2 is in the tens place, so it literally represents 2 tens. So this is equal to 20, 2 times 10. This 1 is literally equal to 1. It's 1 one. And then this 3 is 3/10, so plus 3/10. But now I want to rearrange or regroup the value in these places. So, for example, I could take 1 from the ones place and give it to the tenths place. So let's see how that would work. So we're going to take 1 away from the ones place, and so it's going to become a 0. And we're going to give it to the tenths place."
Math,"And what we're going to see is that that's going to make the tenths place into 13/10. Now, does that actually make sense that I took 1 from here and it essentially added 10 to the tenths place? Well, let's rewrite what this represents. So we still have 2 tens. So this is still going to be 2 tens. Now we have plus 0 ones. And we essentially wanted to write that 1 that we took away from the ones place in terms of tenths."
Math,"So if we were to write this in terms of tenths, it would be 10/10 plus the 3/10 that were already there. And so this is going to be equal to 13/10. Let me write that down. So this is equal to 20. That's the color you can't see. This is equal to 20 plus 0 ones, so 2 tens plus 0 ones plus 13 tens. Let's do another example with this exact same number. So once again, 21.3. And I'll write it out again. This is equal to 20 plus 1. We'll do that in the purple color. Plus 1 plus 3/10, plus 3 over 10."
Math,"Now, I could take 1 from the tens place so that this becomes just 1. Now what do I do with that 10? Well, let's say with that 10 I give 9 of it to the ones place. So I give 9 of it to the ones place so that this becomes 10. And I still have 1 left over, and I give it to the tenths place, so that's going to become 13/10. So what did I just do? Well, I could rewrite this. Let me be clear what I did. This is the same thing as 1 plus 9. Actually, let me write it this way. 1 plus 9 plus 1."
