subject,text
Science,"Iman, why should folks be excited about this? - So Middle school Earth and Space Science is really exciting because it's one of those areas of science that answers what's happening in our universe."
Science,"And then like when you dig in, you're like ""What is happening in our universe? This is why we have seasons."" And so we start like really big, we go all the way to outer space and we figure out sort of earth's position in our solar system and the relationship to gravity and our inner planets and our outer planets. And then we keep digging in and we finally figure out how Earth's position answers seasons."
Science,"It's not because we get closer to the sun or how based on earth's position, we look up at the moon and you'll see a lunar eclipse or how you don't look up and look at a solar eclipse, like seriously don't look up because it'll hurt your corneas. And then we keep going and we talk about water and how the same water that you're drinking right now is the exact same water that dinosaurs drink. And then we get into the rock cycle and we figure out why mountains are here and how we're moving right now."
Science,"Literally the plates below us are moving and how at one point we could walk across all the way from the US to Africa and how plate tectonics really changed that. And then finally, finally, we talk about us. We talk about us on this planet and how there's so many amazing resources here and how well how we use them really impacts the earth and how that could impact our climate. And really awesome things that you can do as a learner to change all that and make this earth really awesome."
Science,"What are you excited about, Sal? - Well, I'll just double down everything you said and I like how you said we're gonna dig into it 'cause it's very appropriate pun for earth, earth and space. This starts to answer the questions of, the from the cosmos to earth. Over billions of years, as you mentioned, the earth is alive in certain ways with the plates are still moving it's active and we should say at least, and you know we are part of the earth."
Science,"Your point, the, the water in our bodies the air that we breathe, it's the same water and earth that has been been here and the air for billions and billions of years. So to be able to actually understand that it, it actually gives me, gives me goosebumps. So I think folks will be very excited about this course. - Absolutely. (upbeat music)."
Science,"Our understanding about this has improved over time, and we have developed models that can help us understand something as vast as space. Now, models are just a way of representing a system of ideas that help us identify and understand patterns that we see. Models are a tool that can explain, and predict what we see in the world and space around us. And as we gain new information, we can update our models."
Science,"So what kind of model might we construct about how Earth interacts with other bodies in the universe? To begin with, every day, we can see the sun rise in the east, and set in the west, and other objects in the sky follow a similar pattern. It was logical then for early models to consider the Earth as a stationary object, around which all of the universe revolves. This is called a geocentric model, geo for Earth, and centric for center."
Science,"And this geocentric model was quite good at explaining a lot of the things that we see in the sky, like the apparent motion of the sun and the stars. But there were issues with this geocentric model. For example, the motions of other planets in the sky. A planet like Jupiter might sometimes move backwards in the opposite direction, which isn't really very well explained by this geocentric model. Now, when a model doesn't match our observations like this, we can add new pieces to improve the model."
Science,"So astronomers working with the geocentric model did this by adding smaller cycles within the planets' orbits around the Earth. Adding these cycles did help match the geocentric model to the observations, but there were many of these cycles required, and there wasn't a good explanation for why these cycles existed. And there wasn't very much reasoning for them, and they made the model very complicated, and not particularly useful."
